surface_tension,molecular_formula,density_liquid,enthalpy_fusion,enthalpy_vaporization,enthalpy_vaporization_boiling,thermal_expansion,VDW_area,VDW_volume,radius_gyration,dipole_moment,C,Br,Cl,O,F,H,N,I,Si,S,molecular_weight
48.71,C2H2Br4,2.967,15.03,45.749,52.394,0.00084804,9460000000.0,71.16,4.54,"1.301 ",2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,345.65136199999995
44.86,CHBr3,2.81,11.1,36.654,37.545,0.0009013,6810000000.0,49.98,3.73,"0.99 ",1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,252.72918099999995
39.79,CH2Br2,2.482,8.916,31.733,33.933,0.00095464,5530000000.0,39.43,2.327,"1.43 ",1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,173.833622
18.0,C2Br2F4,2.149,7.037000000000001,27.059,26.774,0.0015621,8560000000.0,58.34,3.779,"0.03 ",2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,259.822092652
33.68,C2H4Br2,2.045,10.63,32.788,34.969,0.00094422,6870000000.0,49.65,3.099,"2.141 ",2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,187.860244
38.16,C2H4Br2,2.169,10.94,34.944,35.79,0.00089629,6860000000.0,49.26,2.833,"1.010 ",2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,187.860244
41.17,C6H4Br2,1.947,14.225,43.285,43.887,0.00074258,8600000000.0,70.92,4.691,"1.469 ",6.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,235.90320400000002
29.95,CBrCl3,1.994,2.03,32.359,32.156,0.00097401,7550000000.0,54.65,3.577,"0.59 ",1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.27294
24.46,CH3Br,1.662,5.979,23.054,24.276,0.0017,4200000000.0,28.07,1.173,"1.811 ",1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,94.938063
19.32,C2HBrClF3,1.8583,4.84,27.37,28.593000000000004,0.00148,7900000000.0,54.13,3.735,"2.066 ",2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,197.38103048899998
22.71,C2H3Br,1.4933,5.504,24.192,24.716,0.0012713,5070000000.0,35.53,1.763,"1.421 ",2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,106.948803
23.51,C2H5Br,1.4533,5.858,26.27,27.526,0.0014636,5550000000.0,38.3,1.987,"2.030 ",2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,108.96468499999999
