surface_tension,molecular_formula,density_liquid,enthalpy_fusion,enthalpy_vaporization,enthalpy_vaporization_boiling,thermal_expansion,VDW_area,VDW_volume,C,Br,Cl,O,F,H,N,I,Si,S,molecular_weight
19.83,C20H42S2,0.941,44.653,61.217,65.89,0.00064585,31140000000.0,234.18,20.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,2.0,346.67792199999997
48.71,C2H2Br4,2.967,15.03,45.749,52.394,0.00084804,9460000000.0,71.16,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,345.65136199999995
20.98,C18H38S2,0.9434,40.509,58.882,65.475,0.00066191,28440000000.0,213.72,18.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,2.0,318.624678
19.71,C20H42S,0.8823,51.68600000000001,57.55,68.746,0.00070931,29840000000.0,222.28,20.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,1.0,314.613122
19.71,C20H42S,0.8672,51.68600000000001,57.55,68.746,0.00070002,29840000000.0,222.28,20.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,1.0,314.613122
19.71,C20H42S,0.8672,51.68600000000001,57.55,68.746,0.00070002,29840000000.0,222.28,20.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,1.0,314.613122
19.71,C20H42S,0.8672,51.68600000000001,57.55,68.746,0.00070002,29840000000.0,222.28,20.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,1.0,314.613122
19.71,C20H42S,0.8672,51.68600000000001,57.55,68.746,0.00070002,29840000000.0,222.28,20.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,1.0,314.613122
36.01,C4H8I2,2.28,11.405,46.835,41.238,0.0006977,10480000000.0,79.28,4.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,309.915428
20.11,C19H40S,0.8798,49.096,56.322,68.067,0.00072027,28490000000.0,212.05,19.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,300.5865
20.11,C19H40S,0.8646,49.096,56.322,68.067,0.00071063,28490000000.0,212.05,19.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,300.5865
20.11,C19H40S,0.8646,49.096,56.322,68.067,0.00071063,28490000000.0,212.05,19.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,300.5865
20.11,C19H40S,0.8646,49.096,56.322,68.067,0.00071063,28490000000.0,212.05,19.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,300.5865
41.73,C3H6I2,2.566,8.815,45.34,42.844,0.00070653,9000000000.0,69.66,3.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,295.888806
17.9,C21H42,0.7929,44.081,56.274,59.329,0.00067152,28330000000.0,213.61,21.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,294.559062
22.07,C16H34S2,0.9436,36.365,56.405,63.618,0.00068042,25740000000.0,193.26,16.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,290.571434
18.68,C21H36,0.8865,51.469,57.695,59.413,0.00067454,27020000000.0,205.29,21.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,288.511416
20.48,C18H38S,0.8611,46.506,55.055,66.815,0.00072211,27140000000.0,201.82,18.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1.0,286.559878
20.48,C18H38S,0.8611,46.506,55.055,66.815,0.00072211,27140000000.0,201.82,18.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1.0,286.559878
20.48,C18H38S,0.8611,46.506,55.055,66.815,0.00072211,27140000000.0,201.82,18.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1.0,286.559878
20.48,C18H38S,0.8611,46.506,55.055,66.815,0.00072211,27140000000.0,201.82,18.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1.0,286.559878
32.34,C18H34O2,0.8874,39.6,60.875,69.908,0.00070514,26240000000.0,193.35,18.0,0.0,0.0,2.0,0.0,34.0,0.0,0.0,0.0,0.0,282.462124
14.61,C20H40,0.7952,41.49100000000001,54.989,57.656,0.00068423,26980000000.0,203.38,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,280.53244
17.41,C20H40,0.7994,55.229,54.95,56.61,0.00070191,26420000000.0,203.45,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,280.53244
18.89,C20H40,0.7838,56.1,54.498,55.783,0.00072232,27300000000.0,208.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,280.53244
35.53,C18H32O2,0.902,47.7,57.441,68.997,0.00069394,23580000000.0,189.83,18.0,0.0,0.0,2.0,0.0,32.0,0.0,0.0,0.0,0.0,280.446242
19.66,C20H34,0.8565,41.597,56.388,57.739,0.00066273,25670000000.0,195.06,20.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,274.48479399999997
30.14,C5Cl6,1.703,11.402,45.314,46.401,0.00075859,13860000000.0,96.81,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.7711
20.8,C17H36S,0.8722,43.916,53.746,65.548,0.00074505,25790000000.0,191.59,17.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,272.533256
20.8,C17H36S,0.8722,43.916,53.746,65.548,0.00074505,25790000000.0,191.59,17.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,272.533256
20.8,C17H36S,0.8722,43.916,53.746,65.548,0.00074505,25790000000.0,191.59,17.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,272.533256
20.8,C17H36S,0.8722,43.916,53.746,65.548,0.00074505,25790000000.0,191.59,17.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,272.533256
23.41,C18H38O,0.808,43.56399999999999,52.572,52.69300000000001,0.00081514,26440000000.0,194.72,18.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,270.494483
20.55,C20H28,0.928,38.227,59.261,58.679,0.00062372,22100000000.0,176.4,20.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,268.437148
66.98,CH2I2,3.32,12.1,39.724,40.743,0.00079296,6430000000.0,50.93,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,267.83556200000004
28.42,C19H38,0.782,33.5,53.17,57.535,0.00073609,26660000000.0,197.76,19.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,266.505818
19.9,C19H38,0.816,38.901,53.66,55.982,0.00069552,25630000000.0,193.15,19.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,266.505818
18.48,C19H38,0.8032,51.045,53.87,55.103,0.00071593,25070000000.0,193.22,19.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,266.505818
23.03,C14H30S2,0.9403,32.221,53.764,58.576,0.00070215,23040000000.0,172.8,14.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0,262.51819
20.17,C19H32,0.851,43.932,55.035,57.415,0.00067616,23620000000.0,182.27,19.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,260.458172
18.0,C2Br2F4,2.149,7.037000000000001,27.059,26.774,0.0015621,8560000000.0,58.34,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,259.822092652
24.05,C16H34S,0.843,49.486,54.353,60.856,0.00076248,24440000000.0,185.37,16.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,258.50663399999996
