surface_tension,molecular_formula,density_liquid,enthalpy_vaporization,enthalpy_vaporization_boiling,thermal_expansion,C,Br,Cl,F,N,O,H,I,S,Si,Al,Ga,P,B,molecular_weight
13.03,CBrClF2,1.81,22.504,22.372,0.002211,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.363946326
29.95,CBrCl3,1.994,32.359,32.156,0.00097401,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.27294
3.76,CBrF3,1.536,17.496,17.531,0.0049262,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.909449489
17.1,CBr2F2,2.274,24.985,26.653,0.0015771,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.81454632599997
21.53,CClN,1.172,23.916,26.857,0.0021476,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.470343
8.79,CCl2F2,1.307,20.028,20.607,0.0028063,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.913346326
18.95,CCl2O,1.363,23.43,24.777,0.0017553,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.915945
18.34,CCl3F,1.477,24.917,25.156,0.0016193,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.367843163
26.29,CCl4,1.583,29.837,29.84,0.0011552,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.82234
44.86,CHBr3,2.81,36.654,37.545,0.0009013,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.72918099999995
7.87,CHClF2,1.193,19.031,20.193,0.0033277,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.468387326
17.77,CHCl2F,1.367,23.549,24.64,0.0017817,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.922884163
26.68,CHCl3,1.48,28.389,29.785,0.0013026,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.377381
17.78,CHN,0.68,25.114,26.896,0.0022569,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.025384000000003
34.45,CH2BrCl,1.926,29.033,31.117,0.0012261,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.383022
39.79,CH2Br2,2.482,31.733,33.933,0.00095464,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.833622
22.17,CH2ClF,1.256,21.901,22.744,0.0020741,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.477925163
27.84,CH2Cl2,1.318,26.409,28.381,0.001341,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.932422
6.99,CH2F2,0.8915,18.052,20.209,0.0040117,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.023428325999994
66.98,CH2I2,3.32,39.724,40.743,0.00079296,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,267.83556200000004
15.7,CH2O,0.736,20.177,23.16,0.002147,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.026027
37.67,CH2O2,1.2111,32.1,21.99,0.0014794,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.025431999999995
24.46,CH3Br,1.662,23.054,24.276,0.0017,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.938063
15.19,CH3Cl,0.913,20.354,21.549,0.0022985,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.487463
41.6,CH3ClO2S,1.4711,37.86,37.69,0.00091169,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,114.551073
19.53,CH3Cl3Si,1.266,28.874,28.1,0.0013808,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,149.478763
2.06,CH3F,0.5283,15.686,17.67,0.0083319,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.032966163
29.75,CH3I,2.28,26.659,27.32,0.0013459,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,141.939033
57.02,CH3NO,1.129,43.458,48.25,0.0012137,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.040670999999996
36.27,CH3NO2,1.129,32.119,35.04,0.0011482,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.040076
18.01,CH4Cl2Si,1.103,26.502,26.435,0.0015754,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.03380399999999
22.09,CH4O,0.787,28.716,35.139,0.0014175,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.041909
50.05,CH4O3S,1.477,55.457,49.775,0.00057487,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,96.105519
23.84,CH4S,0.862,23.283,24.574,0.0015878,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.107304
14.47,CH5ClSi,0.884,23.535,23.46,0.0019717,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.58884499999999
19.89,CH5N,0.655,22.157,26.111,0.0018713,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.057147999999998
5.49,CH6Si,0.486,17.581,17.099,0.0040463,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.143885999999995
29.71,CN4O8,1.626,34.489,35.484,0.0015267,1.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.032792
8.11,COS,1.005,18.186,18.612,0.0028886,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.074945
31.56,CS2,1.256,26.984,26.616,0.0010923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,76.14034
13.56,C2BrF3,1.83,22.632,22.507,0.0021343,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.920189489
18.0,C2Br2F4,2.149,27.059,26.774,0.0015621,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.822092652
8.34,C2ClF3,1.275,20.155,21.364,0.0029697,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.46958948899999
4.83,C2ClF5,1.287,19.313,19.33,0.0038533,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.466395815
